id,Geographic Area Name,LessThanHS,Hsgraduate,SomeCollege,Bachelor,Gradate
0400000US01,Alabama,433073,1039241,1002387,547975,337382
0400000US02,Alaska,31090,139156,167655,89583,56574
0400000US04,Arizona,612998,1170685,1668699,931038,561120
0400000US05,Arkansas,254993,710306,595790,307185,168182
0400000US06,California,4301513,5546711,7661164,5889724,3538760
0400000US08,Colorado,302220,836590,1140531,1057825,637777
0400000US09,Connecticut,231839,668361,601672,549166,445382
0400000US10,Delaware,66522,207642,184948,134287,93912
0400000US11,District of Columbia,41168,79881,82667,129825,171604
0400000US12,Florida,1794635,4396122,4540108,2982643,1770994
0400000US13,Georgia,856025,1939945,1982684,1410395,891173
0400000US18,Indiana,468083,1526825,1294281,777771,435055
0400000US19,Iowa,156481,658822,685448,420199,202054
0400000US20,Kansas,157757,504035,603800,414851,237638
0400000US21,Kentucky,390653,1012643,879223,453040,312883
0400000US22,Louisiana,440844,1066026,849056,503947,280328
0400000US23,Maine,67314,311108,283731,205722,123277
0400000US24,Maryland,402152,1030636,1040840,911781,798449
0400000US25,Massachusetts,420941,1158066,1089826,1197208,984535
0400000US26,Michigan,596287,2005981,2221564,1252685,818110
0400000US27,Minnesota,245690,939997,1228299,942830,490396
0400000US28,Mississippi,290917,598609,648387,270712,171039
0400000US29,Missouri,391815,1308859,1234207,775808,495473
0400000US30,Montana,42682,211079,239041,171309,77839
0400000US31,Nebraska,101272,326389,421522,277159,145428
0400000US32,Nevada,280915,593417,713215,355837,193082
0400000US33,New Hampshire,65672,275105,270736,224636,143601
0400000US34,New Jersey,599619,1666321,1373524,1555781,995984
0400000US35,New Mexico,201328,376390,453672,221281,173317
0400000US36,New York,1694230,3524192,3280094,2898440,2267778
0400000US42,Pennsylvania,811832,3103046,2195756,1761627,1155775
0400000US44,Rhode Island,80207,212282,194188,156087,104188
0400000US45,South Carolina,415678,1015260,1077707,656496,398063
0400000US46,South Dakota,46294,176644,190307,121231,53553
0400000US47,Tennessee,562817,1480753,1302168,845100,503124
0400000US48,Texas,2882388,4734422,5379207,3750797,2025736
0400000US49,Utah,133060,442206,671665,448109,216552
0400000US50,Vermont,30858,129254,113174,101015,71257
0400000US51,Virginia,584712,1387610,1575365,1312800,1012270
0400000US53,Washington,440074,1167347,1727271,1204728,750904
0400000US54,West Virginia,164805,515431,331144,161686,108020
0400000US55,Wisconsin,290862,1223392,1242652,829878,428501
0400000US56,Wyoming,21250,117501,137539,73183,40374
0400000US72,Puerto Rico,,,,,
