id,Geographic Area Name,ForeignBorn,NaturalizedCitizens,NotUScitizen
0400000US01,Alabama,174764,76963,97801
0400000US02,Alaska,58301,37132,21169
0400000US04,Arizona,975999,439287,536712
0400000US05,Arkansas,154240,57603,96637
0400000US06,California,10559386,5660985,4898401
0400000US08,Colorado,546568,267626,278942
0400000US09,Connecticut,528006,287180,240826
0400000US10,Delaware,96973,47737,49236
0400000US11,District of Columbia,85333,41552,43781
0400000US12,Florida,4524841,2597624,1927217
0400000US13,Georgia,1090805,502520,588285
0400000US15,Hawaii,272520,160627,111893
0400000US16,Idaho,103112,44416,58696
0400000US17,Illinois,1765693,952174,813519
0400000US18,Indiana,358330,150567,207763
0400000US19,Iowa,177518,82451,95067
0400000US20,Kansas,208900,85891,123009
0400000US21,Kentucky,196530,83406,113124
0400000US22,Louisiana,196507,81907,114600
0400000US23,Maine,52412,31039,21373
0400000US24,Maryland,928750,481965,446785
0400000US25,Massachusetts,1189343,651468,537875
0400000US26,Michigan,700727,383083,317644
0400000US27,Minnesota,472231,264456,207775
0400000US28,Mississippi,63623,28364,35259
0400000US29,Missouri,261597,134410,127187
0400000US30,Montana,25068,14456,10612
0400000US31,Nebraska,141875,59241,82634
0400000US32,Nevada,610213,308897,301316
0400000US33,New Hampshire,86906,49606,37300
0400000US34,New Jersey,2073374,1211831,861543
0400000US35,New Mexico,201538,94885,106653
0400000US36,New York,4357408,2595476,1761932
0400000US37,North Carolina,883506,369727,513779
0400000US38,North Dakota,31138,11333,19805
0400000US39,Ohio,558718,292618,266100
0400000US40,Oklahoma,240082,99449,140633
0400000US41,Oregon,410415,197449,212966
0400000US42,Pennsylvania,892824,497400,395424
0400000US44,Rhode Island,145042,81932,63110
0400000US45,South Carolina,288256,122505,165751
0400000US46,South Dakota,36332,16451,19881
0400000US47,Tennessee,372530,159295,213235
0400000US48,Texas,4948370,1958749,2989621
0400000US49,Utah,274400,119114,155286
0400000US50,Vermont,29081,15660,13421
0400000US51,Virginia,1082534,576781,505753
0400000US53,Washington,1131817,533083,598734
0400000US54,West Virginia,28561,14764,13797
0400000US55,Wisconsin,293993,135209,158784
0400000US56,Wyoming,17769,7257,10512
0400000US72,Puerto Rico,,,
