id,Geographic Area Name,MedianIncome
0400000US01,Alabama,27212
0400000US02,Alaska,34921
0400000US04,Arizona,31453
0400000US05,Arkansas,26315
0400000US11,District of Columbia,52758
0400000US12,Florida,29758
0400000US13,Georgia,31104
0400000US15,Hawaii,36789
0400000US16,Idaho,29567
0400000US17,Illinois,35125
0400000US18,Indiana,30886
0400000US19,Iowa,32662
0400000US20,Kansas,32209
0400000US21,Kentucky,27448
0400000US22,Louisiana,27042
0400000US23,Maine,31267
0400000US24,Maryland,41360
0400000US25,Massachusetts,40365
0400000US26,Michigan,30896
0400000US27,Minnesota,38224
0400000US28,Mississippi,24519
0400000US29,Missouri,30899
0400000US30,Montana,30253
0400000US31,Nebraska,33864
0400000US32,Nevada,32130
0400000US33,New Hampshire,37094
0400000US34,New Jersey,40784
0400000US35,New Mexico,26531
0400000US36,New York,36165
0400000US37,North Carolina,30322
0400000US38,North Dakota,35963
0400000US39,Ohio,31177
0400000US40,Oklahoma,29491
0400000US41,Oregon,32250
0400000US44,Rhode Island,33986
0400000US45,South Carolina,29930
0400000US46,South Dakota,31683
0400000US47,Tennessee,29769
0400000US48,Texas,31505
0400000US49,Utah,31958
0400000US50,Vermont,32777
0400000US51,Virginia,36470
0400000US53,Washington,38041
0400000US54,West Virginia,26354
0400000US55,Wisconsin,34280
0400000US56,Wyoming,33296
0400000US72,Puerto Rico,null
